UID,Implementation Guard,Control ID,Content Area,Safeguard Title,Customer Objective,Detailed Requirement,Lifecycle Trigger,Cadence,Primary Stakeholder,Evidence of Completion,Minimum Status to Pass,Minimum Evidence to Pass,Fail Condition,Why it Matters,Who Cares Most (Customer),First Required When
82,IG3,TEC-IG3-01,Technical Readiness,Device compliance gating,Restrict higher-trust AI use to compliant devices where risk warrants.,Require compliant or managed devices for sensitive use cases or user groups.,Project,Quarterly review,Security + endpoint admin,Policy evidence and test from non-compliant device.,Implemented,Validated,Sensitive AI access remains available from unmanaged or non-compliant devices.,"This is particularly important for executives, finance, legal, HR, and high-value data access.",Technical Buyer: CIO | IT/Endpoint Owner,GenAI
83,IG3,TEC-IG3-02,Technical Readiness,Least-privilege admin review,Reduce blast radius from admin compromise or misconfiguration.,"Review and minimize standing admin access for AI configuration, connector management, and platform settings.",Onboarding,Quarterly,Security admin,Admin review export and remediation actions.,Implemented,Validated,Broad admin standing access persists for AI configuration surfaces.,This is a standard security hygiene control adapted for AI admin surfaces.,Technical Buyer: CIO/CISO | Identity Owner,GenAI
84,IG3,TEC-IG3-03,Technical Readiness,Audit and logging baseline,Know what happened when something goes wrong.,"Confirm audit logging is enabled for AI activity, admin changes, data access, and connector activity.",Onboarding,Monthly review,Security admin,Audit log coverage confirmation and retention setting.,Implemented,Validated,AI activity occurs without audit coverage for security or compliance investigation.,"Logging is foundational for incident response, compliance, and forensics.",Security Operations | CISO | CIO,GenAI
85,IG1,OBS-IG1-03,AI Observability,AI Tooling Inventory,Know what AI assets exist in the environment.,"Maintain an inventory of deployed AI models, agents, automations, and integrations.",Project,Monthly,Platform owner,Agent and model inventory with owner and status.,Implemented,Validated,AI assets proliferate without inventory or ownership.,You cannot govern what you have not inventoried.,Platform Owner | CIO | CISO,Custom GPTs
86,IG4,DEP-IG4-01,AI Tooling & Deployment,Dev / test / prod promotion path,Ensure custom AI follows SDLC discipline.,"Require development, testing, and production promotion stages for custom AI assets.",Project,Per release,Platform owner,Promotion evidence and test results.,Implemented,Validated,Custom AI is deployed directly to production without testing.,SDLC discipline prevents production incidents.,Platform Owner | CIO | CISO,Custom GPTs
87,IG3,DEP-IG3-03,AI Tooling & Deployment,Publisher / owner assignment for custom AI,Ensure every AI asset has an accountable owner.,"Assign a named publisher and support owner for each custom agent, automation, or AI integration.",Project,Per release and annual review,Platform owner,Ownership register with named publishers.,Implemented,Documented,Custom AI assets exist without an accountable owner or publisher.,Ownership is the prerequisite for lifecycle management.,Platform Owner | CIO | CISO,Custom GPTs
88,IG4,CPL-IG4-01,Copilot Readiness,Agent publication and blocked-list governance,Restrict agent publishing and use a blocked-list or request flow before organization-wide visibility expands.,"Restrict who can publish agents to the organization, maintain a blocked agents list, and enable an access-request approval flow for restricted agents where appropriate. Record the approved publisher group and the review process for blocked or requested agents.",Project,Monthly review,Platform owner + security approver,"Approved publisher group, blocked agents list, and request approval workflow evidence.",Implemented,Validated,Any creator can publish agents broadly or no blocked-list / request flow exists for restricted agents.,"Publishing rights determine when an internal experiment becomes an organization-wide asset, so publishing and blocked-list controls are a key maturity gate for agents.",Platform Owner | CISO | CIO,Custom GPTs
89,IG4,CPL-IG4-02,Copilot Readiness,Store agent and app approval model,"Create an approval model for store agents, Microsoft-built agents, and Copilot extensions.","Review Microsoft-built agents for relevance, disable or block agents not approved for the tenant, and maintain an approval process for any store-based extension, plugin, or add-in that extends Copilot. Record owner, purpose, data scope, and approval status for each approved experience.",Project,Quarterly review,Platform owner + procurement,"Approved agent or extension register with owner, data scope, and current approval status.",Implemented,Documented,Store agents or Copilot extensions are available without individual review or approval records.,"Store-delivered Copilot capabilities change quickly and often touch business data, so each approved experience needs an owner, scope, and review trail.",Risk Buyer: CISO | Platform Owner,Custom GPTs
90,IG4,GOV-IG4-01,Policy & Governance,Agent approval workflow,Treat custom agents as governed production assets.,Require a documented approval path before a custom agent or automation is published to employees or connected to production data.,Project,Per agent / automation,Platform owner + security approver,"Approval record, owner, data scope, and support tier.",Implemented,Validated,"Custom agents are published without owner, approval, or scope review.","Agents are software, not experiments, once they are published.",Control Owner: CISO/Compliance | Platform Owner,Custom GPTs
91,IG4,TEC-IG4-01,Technical Readiness,Separated test and production path,Prevent experimental AI from affecting production users or data.,"Maintain separate environments for development, testing, and production for custom agents, automations, and integrations.",Project,Per change or release,Platform owner,Environment inventory and promotion evidence.,Implemented,Validated,Custom AI is tested in production with production data and production users.,This is basic SDLC discipline applied to AI assets.,IT Operations Owner | Platform Owner | CIO,Custom GPTs
92,IG4,TEC-IG4-02,Technical Readiness,Backup / recovery considerations for AI-managed workflows,Ensure AI-managed processes can be recovered if disrupted.,"Review whether workflows, data sources, or configurations managed by AI have adequate backup, versioning, or restore capability.",Project,Annual review and before major automation rollout,IT operations lead,Review memo or checklist covering key AI-managed workflows.,Implemented,Documented,AI-managed workflows have no considered recovery path.,This is an emerging concern as AI takes over more operational processes.,IT Operations Owner | Platform Owner | CIO,Custom GPTs
93,IG4,TEC-IG4-03,Technical Readiness,Integration dependency inventory,Track what AI connects to inside the customer environment.,"Maintain an inventory of connectors, APIs, data sources, and external services used by AI tools and agents.",Project,Quarterly review,Platform owner,Dependency register with owner and review date.,Implemented,Documented,AI integrations exist without a tracked dependency or owner.,Dependencies become risk when they change or fail without notice.,Platform Owner | CISO | CIO,Custom GPTs
94,IG4,OBS-IG4-01,AI Observability,Cross-tool correlation,"Connect signals across AI, identity, data, and security tools.",Implement cross-tool correlation to detect complex AI risk patterns that span multiple systems.,Security Incident,Continuous with quarterly review,Security operations,Correlation rule configuration and detection evidence.,Implemented,Validated,AI risk signals are siloed across tools without correlation.,Advanced threats often span multiple systems.,CISO | Security Operations | CIO,GenAI
95,IG4,OBS-IG4-02,AI Observability,Automated anomaly detection,Detect unusual AI behavior automatically.,"Implement automated anomaly detection for AI usage patterns, data access, and agent behavior.",QBR,Quarterly tuning,Security/data analytics lead,Anomaly detection configuration and baseline evidence.,Implemented,Validated,Anomalous AI behavior is only detected through manual review.,Automation scales detection beyond human capacity.,CISO | Security Operations | CIO,Custom GPTs
96,IG4,OBS-IG4-03,AI Observability,Control effectiveness review,Measure whether controls are actually working.,"Review control effectiveness using evidence, exceptions, incidents, and compliance data.",QBR,Semiannual,Security lead + sponsor,Effectiveness review with recommendations.,Implemented,Validated,Controls exist but their effectiveness is not measured.,Effectiveness measurement closes the governance loop.,CFO/CEO | CIO | Executive Sponsor,GenAI
97,IG3,DEP-IG3-04,AI Tooling & Deployment,Agent lifecycle register,Track custom AI assets through their full lifecycle.,"Maintain a lifecycle register for custom agents covering creation, testing, approval, deployment, review, and retirement.",Project,Per release and quarterly review,Platform owner,Lifecycle register with status and review dates.,Implemented,Validated,Custom agents exist without lifecycle tracking or review schedule.,Lifecycle management prevents agent sprawl.,Platform Owner | CIO | CISO,Custom GPTs
98,IG3,DEP-IG3-05,AI Tooling & Deployment,Employee offboarding AI access removal,Remove AI access when employees leave.,"Include AI tool access, agent permissions, and custom AI ownership in the employee offboarding process.",Employee Offboarding,Per offboarding event,HR + IT,Offboarding checklist with AI access steps.,Implemented,Validated,Departing employees retain AI access or custom AI ownership.,Offboarding gaps create orphaned access and assets.,IT Operations | HR | CIO,GenAI
99,IG4,DEP-IG4-02,AI Tooling & Deployment,Agent retirement and decommission path,Know how to shut down AI assets safely.,"Document the process for retiring or decommissioning custom agents, including data cleanup, user notification, and dependency review.",Project,Per retirement and annual review,Platform owner,Retirement procedure and completed decommission evidence.,Implemented,Documented,Custom agents cannot be cleanly retired or decommissioned.,Retirement capability is part of responsible AI lifecycle.,Platform Owner | CIO | CISO,Custom GPTs
100,IG4,CPL-IG4-03,Copilot Readiness,Advanced SharePoint governance for Copilot content hygiene,Use advanced SharePoint lifecycle and oversharing controls when Copilot readiness depends on content hygiene at scale.,"For tenants with significant SharePoint debt, evaluate SharePoint Advanced Management, inactive site policy, oversharing reports, and related lifecycle controls as a formal Copilot readiness workstream. Track remediation actions that improve the quality and safety of Copilot grounding over time.",QBR,Quarterly,SharePoint owner + executive sponsor,"Governance report, inactive site remediation plan, and tracked actions from oversharing or lifecycle reviews.",Implemented,Documented,"Copilot grounding continues to expand while stale sites, oversharing debt, or lifecycle issues remain unmanaged.","Long-term Copilot quality and safety depend on the health of the SharePoint estate, not just on point-in-time access decisions.",Knowledge Owner | CIO | CISO,Cowork
101,IG4,SKL-IG4-01,People & Skills,Quarterly Skills Gap Analysis,Conduct a recurring assessment of AI skill gaps across the organization.,"Run a quarterly skills gap analysis comparing current competency levels against the AI capabilities now deployed and those on the near-term roadmap. Feed results into learning path updates, champions program priorities, and hiring decisions. Present findings at the quarterly steering cadence.",QBR,Quarterly,IT lead + HR,"Quarterly skills gap report: gaps identified, severity, owner, and remediation plan.",Implemented,Validated,Skills investments are made without data on where competency gaps actually exist.,"AI capability expands faster than most training programs. Without gap analysis, the organization progressively falls behind its own deployed tools.",HR / Department Leaders / IT Lead,Custom GPTs
102,IG4,GOV-IG4-02,Policy & Governance,Block unapproved GenAI tools,Enforce policy where the risk profile requires technical restriction.,"Use technical controls to restrict unapproved public GenAI sites, desktop apps, and browser extensions unless explicitly approved.",Project,Quarterly review and upon major new AI service adoption,Security lead + endpoint/network admin,"Validated block list, exception path, and successful control test.",Implemented,Tested / Recurring,High-risk users can access unapproved AI tools with no compensating control.,Policy-only governance is not enough for high-risk environments.,Risk Buyer: CISO | Technical Owner: CIO,GenAI
103,IG4,GOV-IG4-03,Policy & Governance,Periodic policy effectiveness review,Test whether governance controls are actually shaping behavior.,"Review policy breaches, exception volume, training issues, and shadow AI trends to decide whether governance content needs revision.",QBR,Semiannual,Compliance lead + sponsor,Review memo with revisions or accepted residual risk.,Implemented,Validated,Policy documents exist but are never reviewed against real user behavior.,Governance must adapt to usage reality.,CISO | Compliance | IT Leadership,GenAI
104,IG4,GOV-IG4-04,Policy & Governance,Policy mapping to enterprise risk framework,Align AI safeguards with broader risk and compliance obligations.,"Map AI safeguards to the customer security, privacy, legal, and audit framework and track gaps.",QBR,Semiannual,Risk/compliance lead,Control mapping matrix and remediation actions.,Implemented,Validated,Regulated AI use proceeds without mapping to existing control obligations.,This gives the framework defensibility in regulated or audit-heavy contexts.,CISO | Compliance | IT Leadership,GenAI
105,IG4,PRC-IG4-01,Process Mapping,Workflow quality scorecard,Track whether AI-assisted workflows maintain quality over time.,"Create a quality scorecard for key AI-assisted workflows measuring accuracy, completeness, and user satisfaction.",QBR,Quarterly,QA lead + process owner,Quality scorecard with trend data.,Implemented,Validated,AI workflow quality is not measured after initial deployment.,Quality can degrade silently without active monitoring.,COO | Business Analyst | Department Owner,GenAI
106,IG4,PRC-IG4-02,Process Mapping,Workflow retirement / rollback criteria,Know when to stop or reverse an AI workflow.,Document the conditions under which an AI-assisted workflow should be rolled back or retired.,Project,Annual review and after major issues,Process owner + sponsor,Retirement criteria and decision authority.,Implemented,Documented,AI workflows persist indefinitely without review criteria.,Not every AI workflow will succeed long-term.,Operations Lead | IT Lead | Department Owner,GenAI
107,IG4,DAT-IG4-01,Security,Regulated data access model,Apply stricter controls for regulated or high-sensitivity data.,Design and implement access models for regulated data that AI may need to reference or process.,Project,Quarterly review,Compliance lead + data owner,Access model documentation and implementation evidence.,Implemented,Validated,Regulated data is accessible to AI under general-purpose access policies.,Regulated data requires purpose-specific access controls.,CISO | Compliance | Security Operations,GenAI
108,IG4,DAT-IG4-02,Data Security & Tagging,Continuous oversharing monitoring,Detect and remediate oversharing as it occurs.,Implement continuous monitoring for overshared content in AI-accessible repositories.,QBR,Monthly or quarterly depending on change rate,Security / data governance lead,Monitoring configuration and alert evidence.,Implemented,Validated,Oversharing is reviewed only at initial cleanup with no ongoing monitoring.,Permissions drift continuously and need continuous monitoring.,CISO | Collaboration Owner | CIO,Cowork
109,IG3,DAT-IG3-06,Data Security & Tagging,Data minimization for custom agents,Limit custom agent data access to what is needed.,Configure custom agents to access only the minimum data sources required for their function.,Project,Per agent / workflow and annual review,Platform owner + data owner,Agent data scope documentation and access evidence.,Implemented,Validated,Custom agents have broad data access beyond their functional need.,Least-privilege applies to AI agents as much as to users.,CISO | Compliance | Security Operations,Cowork
110,IG4,DAT-IG4-03,Data Security & Tagging,Legal hold and investigation path for AI evidence,Preserve AI-related evidence when needed.,"Document how AI interaction logs, generated content, and related data can be preserved for legal hold or investigation.",Security Incident,Annual review and after relevant matters,Compliance lead + legal,Legal hold procedure and test evidence.,Implemented,Validated,AI evidence cannot be preserved or produced when legally required.,eDiscovery for AI is an emerging requirement.,Compliance/Privacy Lead | CISO,Cowork
111,IG4,REG-IG4-01,Security,Regulatory Compliance Calendar,Maintain a forward-looking calendar of all AI-related regulatory review and reporting deadlines.,"Track renewal, reporting, certification, and review deadlines for each applicable regulation across all active customers and verticals. Assign deadline owners, pre-work timelines, and escalation paths. Surface in the quarterly steering cadence.",QBR,Quarterly review; updated as new obligations are identified,Compliance lead,"Compliance calendar with deadlines, owners, pre-work milestones, and current status.",Implemented,Validated,Compliance deadlines missed due to lack of centralized tracking or ownership.,"Regulatory deadlines are non-negotiable. Missing them creates fines, remediation obligations, and reputational damage that an MSP cannot absorb on behalf of a client.",Compliance / Legal / Risk Officer,GenAI
112,IG4,REG-IG4-02,Security,Regulatory Change Monitoring,Track emerging AI regulations and assess their impact on the deployed framework within 30 days.,"Assign a monitor responsible for tracking AI regulatory developments: EU AI Act updates, US state AI laws, sector-specific guidance (HHS, SEC, FTC, NIST AI RMF updates). Produce a change impact note within 30 days of any material regulatory development. Route material changes to the steering forum for framework adjustment decisions.",QBR,Continuous monitoring; formal impact review quarterly,Compliance lead + legal,"Monitoring source list, change log, and impact assessments with steering review records.",Implemented,Documented,Material regulatory changes are not identified until after they take effect.,The AI regulatory landscape is evolving at an unprecedented pace. Late awareness creates compliance gaps that are difficult and expensive to remediate after the fact.,Compliance / Legal / Risk Officer,GenAI
113,IG3,STR-IG3-01,Strategy & Buy-In,AI Automation Risk Appetite,Clarify what the customer will and will not automate.,"Document acceptable autonomy, external AI usage, regulated data boundaries, and customer-facing automation limits.",Project,Annual and after major policy change,Executive sponsor + risk/compliance lead,Approved risk appetite statement with revision history.,Implemented,Validated,Sensitive AI decisions are made without a clear policy position on risk tolerance.,This becomes crucial before deeper automation or agentic rollout.,Economic Buyer: CEO/COO | Executive Sponsor: CIO,GenAI
114,IG5,TEC-IG5-02,Technical Readiness,Just-in-time privileged changes,Eliminate standing admin access for sensitive AI configuration.,Require PIM or equivalent just-in-time elevation for privileged AI configuration changes.,Project,Monthly review,Security admin,PIM activation logs and role assignment evidence.,Implemented,Validated,Admins retain standing privileged access to AI configuration surfaces.,JIT is best practice for sensitive admin surfaces.,Technical Buyer: CIO/CISO | Identity Owner,GenAI
115,IG5,TEC-IG5-01,Technical Readiness,Secret and integration credential control,"Protect API keys, tokens, and credentials used by AI integrations.",Store and rotate secrets used by AI connectors and agents in a managed vault with access logging.,Project,Quarterly review,Platform owner + security,Vault configuration and access log evidence.,Implemented,Validated,"AI integration credentials are stored in code, config files, or unmanaged locations.",Credential compromise is a common attack vector for AI integrations.,Platform Owner | CISO | CIO,Custom GPTs
116,IG5,TEC-IG5-03,Technical Readiness,High-risk environment isolation pattern,Contain AI risk for sensitive user populations or data.,"Design and document isolation patterns for high-risk users, sensitive data, or regulated workloads that interact with AI.",Project,Semiannual,Security architect + sponsor,Isolation design document and implementation evidence.,Implemented,Validated,High-risk AI use cases share the same access and data boundaries as general use.,Isolation reduces blast radius for the most sensitive scenarios.,Platform Owner | CISO | CIO,GenAI
117,IG5,CPL-IG5-01,Copilot Readiness,Frontier feature governance,Treat frontier Copilot features as controlled experiments with explicit approval and exit criteria.,"Document the governance model for Copilot Frontier access across web apps, desktop/mobile, and agents. Require named pilot groups, exit criteria, and explicit approval before any frontier feature is enabled outside a limited innovation cohort.",Project,Quarterly review,Executive sponsor + platform owner,"Named frontier pilot list, approval record, and criteria for expansion or rollback.",Implemented,Validated,"Frontier features are enabled outside a named pilot with no approval, success criteria, or rollback path.","Preview and frontier capabilities can change behavior, supportability, and risk quickly, so they should not be treated like stable production features.",Executive Sponsor | Platform Owner | CIO,Agentic AI
118,IG5,CPL-IG5-02,Copilot Readiness,Copilot Tuning and external model governance,Control who can tune Copilot agents and whether non-Microsoft base models are ever approved.,"Scope Copilot Tuning to an approved group, document the business cases allowed for tuning, and keep open-source or external base model tuning disabled unless a separate risk review approves it. Maintain approval records for any tuning project.",Project,Quarterly review,Platform owner + risk/compliance lead,"Approved tuning group, tuning project register, and external model posture evidence.",Implemented,Validated,Tuning is broadly available or external base models are allowed with no approved review standard.,"Tuning increases customization power but also increases model, support, and governance complexity, especially when external or open models are considered.",Platform Owner | CISO | CIO,Agentic AI
119,IG5,CPL-IG5-03,Copilot Readiness,Metered Copilot billing governance,Govern metered Copilot and agent billing before usage-based charges become operational spend.,"If Copilot pay-as-you-go billing or other metered Copilot services are in scope, document the approved owner, budget threshold, reporting cadence, and allowed use cases. Keep the setting unconfigured or off until those controls exist.",Project,Monthly review,IT finance + platform owner,"Billing owner assignment, approved use-case list, and monthly spend review artifact.",Implemented,Documented,"Metered Copilot billing is enabled with no owner, budget threshold, or use-case approval.",Usage-based Copilot billing introduces variable spend that can scale faster than governance if no owner or threshold exists.,Economic Buyer: CFO | Platform Owner,Agentic AI
120,IG5,CPL-IG5-04,Copilot Readiness,Cross-surface Copilot and AI provider review,Review advanced Copilot surfaces and non-Microsoft AI provider options before approving broader use.,"Review and approve any expansion into alternative AI providers for other LLMs, Edge Copilot Mode, or other advanced Copilot surfaces that materially change grounding, page context, or provider behavior. Record the approved surface, provider, and user scope.",Project,Semiannual,CIO + security architect,"Review memo listing approved providers or surfaces, scope, and rationale.",Implemented,Documented,Alternative AI providers or advanced Copilot surfaces are enabled with no explicit review or user scope definition.,"New Copilot surfaces and provider options can change grounding, page-context behavior, and support assumptions, so they should be evaluated as intentional expansions.",CIO | Security Architect | Platform Owner,Agentic AI
122,IG3,GOV-IG3-03,Policy & Governance,AI Asset Inventory," Maintain a comprehensive, updated inventory of AI tools, their purposes, and associated data. Includes both approved and experimental tools.",,,,,,,,,,,
121,IG1,GOV-IG1-02,Policy & Governance,AI Acceptable Use Standard,,"Not as in depth as the policy. A base standard around what is and isn't' acceptable to use AI for, and some guidance. Can be a part of a general AUP as well. The policy is built in more detail from this. ",,,,,,,,,,
